Location,Count,Average_Price,Median_Price,Min_Price,Max_Price
"Al-Ghurair Giga - Block 15, Al-Ghurair Giga",1,15000000.0,15000000.0,15000000.0,15000000.0
"Al-Ghurair Giga - Block 16, Al-Ghurair Giga",1,11500000.0,11500000.0,11500000.0,11500000.0
"Al-Ghurair Giga, DHA Defence Phase 2",2,17750000.0,17750000.0,10500000.0,25000000.0
"Apollo Towers, E-11/4",1,18500000.0,18500000.0,18500000.0,18500000.0
"Arsalan Town, Islamabad",1,23500000.0,23500000.0,23500000.0,23500000.0
"Askari Heights 4, DHA Phase 5 - Sector H",7,27885714.285714287,25000000.0,24600000.0,38500000.0
"Askari Tower 2, DHA Defence Phase 2",1,35000000.0,35000000.0,35000000.0,35000000.0
"Askari Tower 3, DHA Defence Phase 5",2,34500000.0,34500000.0,30000000.0,39000000.0
"Askari Tower 4, DHA Defence Phase 5",2,31750000.0,31750000.0,29500000.0,34000000.0
"B-17, Islamabad",11,18018181.818181816,11500000.0,7000000.0,62500000.0
"Bahria Enclave - Sector A, Bahria Enclave",4,37375000.0,40500000.0,16000000.0,52500000.0
"Bahria Enclave - Sector B1, Bahria Enclave",2,25750000.0,25750000.0,25000000.0,26500000.0
"Bahria Enclave - Sector B2, Bahria Enclave",1,150000000.0,150000000.0,150000000.0,150000000.0
"Bahria Enclave - Sector C, Bahria Enclave",4,122500000.0,125000000.0,110000000.0,130000000.0
"Bahria Enclave - Sector C1, Bahria Enclave",11,53500000.0,53500000.0,47000000.0,62500000.0
"Bahria Enclave - Sector C2, Bahria Enclave",2,42000000.0,42000000.0,42000000.0,42000000.0
"Bahria Enclave - Sector F, Bahria Enclave",1,58000000.0,58000000.0,58000000.0,58000000.0
"Bahria Enclave - Sector G, Bahria Enclave",2,36000000.0,36000000.0,29000000.0,43000000.0
"Bahria Enclave - Sector H, Bahria Enclave",2,17450000.0,17450000.0,10400000.0,24500000.0
"Bahria Enclave - Sector I, Bahria Enclave",1,4500000.0,4500000.0,4500000.0,4500000.0
"Bahria Enclave - Sector J, Bahria Enclave",1,46000000.0,46000000.0,46000000.0,46000000.0
"Bahria Enclave - Sector N, Bahria Enclave",9,28055555.555555556,26000000.0,23500000.0,36000000.0
"Bahria Enclave, Bahria Town",10,31900000.0,39000000.0,2200000.0,46000000.0
"Bahria Garden City West, Bahria Garden City - Zone 4",1,175000000.0,175000000.0,175000000.0,175000000.0
"Bahria Garden City, Bahria Town",2,97000000.0,97000000.0,14000000.0,180000000.0
"Bani Gala, Islamabad",18,40600000.0,38250000.0,12000000.0,105000000.0
"Bhara kahu, Islamabad",2,26750000.0,26750000.0,22500000.0,31000000.0
"CBR Town Phase 1 - Block C, CBR Town Phase 1",4,35625000.0,35000000.0,30000000.0,42500000.0
"CBR Town, Islamabad",1,31000000.0,31000000.0,31000000.0,31000000.0
"Capital Heights, G-11/3",1,36000000.0,36000000.0,36000000.0,36000000.0
"Capital Homes, H-13",1,3500000.0,3500000.0,3500000.0,3500000.0
"Capital Residencia, Margalla Hills-2",5,24260000.0,26000000.0,13300000.0,31000000.0
